year,dist_name,actual_evapotranspiration
1990,Ariyalur,78.91
1990,Chennai,95.37
1990,Coimbatore,67.75
1990,Cuddalore,88.41
1990,Dharmapuri,61.98
1990,Dindigul,62.8
1990,Erode,47.85
1990,Kancheepuram,90.6
1990,Kanyakumari,83.56
1990,Karur,54.0
1990,Krishnagiri,52.66
1990,Madurai,66.38
1990,Nagapattinam,94.62
1990,Namakkal,58.01
1990,Perambular,71.04
1990,Pudukkottai,72.09
1990,Ramananthapuram,59.57
1990,Salem,63.67
1990,Sivagangai,70.69
1990,Thanjavur,78.58
1990,The Nilgiris,69.05
1990,Theni,72.49
1990,Thirunelveli,67.39
1990,Thiruvallur,91.51
1990,Thiruvarur,89.87
1990,Thoothukudi,48.12
1990,Tiruchirappalli,61.63
1990,Tiruppur,49.63
1990,Tiruvannamalai,78.96
1990,Vellore,69.99
1990,Villupuram,80.71
1990,Virudhunagar,61.77
1991,Ariyalur,75.89
1991,Chennai,85.0
1991,Coimbatore,77.13
1991,Cuddalore,83.84
1991,Dharmapuri,71.76
1991,Dindigul,64.33
1991,Erode,59.68
1991,Kancheepuram,84.91
1991,Kanyakumari,86.28
1991,Karur,58.1
1991,Krishnagiri,67.71
1991,Madurai,67.91
1991,Nagapattinam,88.16
1991,Namakkal,65.86
1991,Perambular,72.98
1991,Pudukkottai,71.02
1991,Ramananthapuram,61.12
1991,Salem,72.2
1991,Sivagangai,71.09
1991,Thanjavur,75.69
1991,The Nilgiris,77.83
1991,Theni,75.81
1991,Thirunelveli,70.51
1991,Thiruvallur,83.77
1991,Thiruvarur,86.21
1991,Thoothukudi,48.94
1991,Tiruchirappalli,65.03
1991,Tiruppur,54.31
1991,Tiruvannamalai,78.04
1991,Vellore,72.7
1991,Villupuram,78.87
1991,Virudhunagar,64.05
1992,Ariyalur,77.16
1992,Chennai,74.95
1992,Coimbatore,69.69
1992,Cuddalore,82.37
1992,Dharmapuri,62.71
1992,Dindigul,60.24
1992,Erode,46.73
1992,Kancheepuram,76.15
1992,Kanyakumari,83.39
1992,Karur,51.54
1992,Krishnagiri,54.68
1992,Madurai,64.81
1992,Nagapattinam,85.88
1992,Namakkal,54.42
1992,Perambular,70.79
1992,Pudukkottai,70.42
1992,Ramananthapuram,58.02
1992,Salem,59.25
1992,Sivagangai,71.71
1992,Thanjavur,75.34
1992,The Nilgiris,70.86
1992,Theni,69.67
1992,Thirunelveli,61.92
1992,Thiruvallur,73.69
1992,Thiruvarur,84.6
1992,Thoothukudi,44.7
1992,Tiruchirappalli,60.83
1992,Tiruppur,48.25
1992,Tiruvannamalai,72.45
1992,Vellore,64.57
1992,Villupuram,75.69
1992,Virudhunagar,58.34
1993,Ariyalur,70.0
1993,Chennai,92.01
1993,Coimbatore,69.08
1993,Cuddalore,78.49
1993,Dharmapuri,61.1
1993,Dindigul,60.48
1993,Erode,50.56
1993,Kancheepuram,87.54
1993,Kanyakumari,78.23
1993,Karur,52.03
1993,Krishnagiri,58.47
1993,Madurai,63.62
1993,Nagapattinam,81.86
1993,Namakkal,54.98
1993,Perambular,64.83
1993,Pudukkottai,63.75
1993,Ramananthapuram,59.03
1993,Salem,59.78
1993,Sivagangai,65.23
1993,Thanjavur,68.45
1993,The Nilgiris,70.43
1993,Theni,73.13
1993,Thirunelveli,61.35
1993,Thiruvallur,87.3
1993,Thiruvarur,77.83
1993,Thoothukudi,47.2
1993,Tiruchirappalli,56.78
1993,Tiruppur,51.8
1993,Tiruvannamalai,74.23
1993,Vellore,70.2
1993,Villupuram,73.26
1993,Virudhunagar,61.36
1994,Ariyalur,80.51
1994,Chennai,88.96
1994,Coimbatore,84.51
1994,Cuddalore,85.15
1994,Dharmapuri,62.89
1994,Dindigul,69.19
1994,Erode,58.07
1994,Kancheepuram,88.02
1994,Kanyakumari,96.55
1994,Karur,56.98
1994,Krishnagiri,54.72
1994,Madurai,74.88
1994,Nagapattinam,84.57
1994,Namakkal,61.13
1994,Perambular,73.04
1994,Pudukkottai,74.15
1994,Ramananthapuram,71.98
1994,Salem,65.91
1994,Sivagangai,76.48
1994,Thanjavur,80.62
1994,The Nilgiris,83.92
1994,Theni,87.16
1994,Thirunelveli,77.39
1994,Thiruvallur,85.6
1994,Thiruvarur,86.01
1994,Thoothukudi,58.14
1994,Tiruchirappalli,63.32
1994,Tiruppur,59.44
1994,Tiruvannamalai,76.57
1994,Vellore,66.66
1994,Villupuram,80.88
1994,Virudhunagar,76.56
1995,Ariyalur,81.33
1995,Chennai,107.4
1995,Coimbatore,70.19
1995,Cuddalore,93.39
1995,Dharmapuri,68.83
1995,Dindigul,62.06
1995,Erode,48.04
1995,Kancheepuram,101.15
1995,Kanyakumari,88.32
1995,Karur,52.51
1995,Krishnagiri,63.42
1995,Madurai,67.29
1995,Nagapattinam,96.64
1995,Namakkal,58.59
1995,Perambular,73.7
1995,Pudukkottai,68.44
1995,Ramananthapuram,60.46
1995,Salem,66.89
1995,Sivagangai,69.1
1995,Thanjavur,78.33
1995,The Nilgiris,72.7
1995,Theni,78.77
1995,Thirunelveli,68.29
1995,Thiruvallur,103.2
1995,Thiruvarur,91.57
1995,Thoothukudi,46.79
1995,Tiruchirappalli,60.84
1995,Tiruppur,46.48
1995,Tiruvannamalai,86.18
1995,Vellore,78.17
1995,Villupuram,87.36
1995,Virudhunagar,64.93
1996,Ariyalur,66.63
1996,Chennai,68.48
1996,Coimbatore,64.59
1996,Cuddalore,69.77
1996,Dharmapuri,58.28
1996,Dindigul,52.64
1996,Erode,42.55
1996,Kancheepuram,70.88
1996,Kanyakumari,87.7
1996,Karur,44.38
1996,Krishnagiri,56.52
1996,Madurai,61.31
1996,Nagapattinam,72.84
1996,Namakkal,49.3
1996,Perambular,63.38
1996,Pudukkottai,69.24
1996,Ramananthapuram,62.75
1996,Salem,56.81
1996,Sivagangai,71.53
1996,Thanjavur,68.56
1996,The Nilgiris,69.41
1996,Theni,64.84
1996,Thirunelveli,67.62
1996,Thiruvallur,70.04
1996,Thiruvarur,71.4
1996,Thoothukudi,49.52
1996,Tiruchirappalli,55.32
1996,Tiruppur,39.79
1996,Tiruvannamalai,69.06
1996,Vellore,64.5
1996,Villupuram,67.34
1996,Virudhunagar,58.95
1997,Ariyalur,69.48
1997,Chennai,81.54
1997,Coimbatore,71.55
1997,Cuddalore,81.08
1997,Dharmapuri,64.88
1997,Dindigul,57.45
1997,Erode,54.09
1997,Kancheepuram,82.08
1997,Kanyakumari,85.85
1997,Karur,53.67
1997,Krishnagiri,61.44
1997,Madurai,59.32
1997,Nagapattinam,84.86
1997,Namakkal,59.98
1997,Perambular,65.49
1997,Pudukkottai,63.16
1997,Ramananthapuram,51.8
1997,Salem,65.26
1997,Sivagangai,62.75
1997,Thanjavur,67.35
1997,The Nilgiris,73.05
1997,Theni,66.42
1997,Thirunelveli,61.88
1997,Thiruvallur,80.31
1997,Thiruvarur,79.21
1997,Thoothukudi,43.28
1997,Tiruchirappalli,58.27
1997,Tiruppur,51.92
1997,Tiruvannamalai,71.95
1997,Vellore,66.66
1997,Villupuram,74.58
1997,Virudhunagar,54.08
1998,Ariyalur,96.67
1998,Chennai,86.5
1998,Coimbatore,80.86
1998,Cuddalore,94.72
1998,Dharmapuri,87.52
1998,Dindigul,78.89
1998,Erode,67.27
1998,Kancheepuram,89.54
1998,Kanyakumari,93.09
1998,Karur,77.83
1998,Krishnagiri,78.39
1998,Madurai,83.45
1998,Nagapattinam,93.62
1998,Namakkal,79.68
1998,Perambular,93.19
1998,Pudukkottai,93.74
1998,Ramananthapuram,78.87
1998,Salem,83.3
1998,Sivagangai,93.9
1998,Thanjavur,96.17
1998,The Nilgiris,80.1
1998,Theni,90.16
1998,Thirunelveli,72.78
1998,Thiruvallur,88.25
1998,Thiruvarur,96.64
1998,Thoothukudi,55.32
1998,Tiruchirappalli,83.8
1998,Tiruppur,64.72
