year,dist_name,rice_area_1000_ha,rice_production_1000_tons,rice_yield_kg_per_ha
1990,Coimbatore,18.16,62.75,3455.0
1990,Cuddalore,179.94,611.61,3399.0
1990,Dharmapuri,29.93,96.18,3213.0
1990,Dindigul,21.95,80.56,3670.0
1990,Erode,64.26,277.26,4315.0
1990,Kancheepuram,231.96,743.65,3206.0
1990,Kanyakumari,41.23,127.82,3100.0
1990,Madurai,119.15,409.55,3437.0
1990,Pudukkottai,68.44,172.55,2521.0
1990,Ramananthapuram,151.27,263.44,1742.0
1990,Salem,30.38,101.04,3326.0
1990,Sivagangai,89.34,203.12,2274.0
1990,Thanjavur,459.42,1403.46,3055.0
1990,The Nilgiris,2.78,6.89,2478.0
1990,Thirunelveli,101.4,398.26,3928.0
1990,Thoothukudi,28.79,136.0,4724.0
1990,Tiruchirappalli,92.68,299.42,3231.0
1990,Tiruvannamalai,53.32,164.54,3086.0
1990,Vellore,34.57,100.85,2917.0
1990,Virudhunagar,36.78,123.49,3358.0
1991,Coimbatore,21.29,73.83,3468.0
1991,Cuddalore,233.31,827.59,3547.0
1991,Dharmapuri,76.6,244.43,3191.0
1991,Dindigul,19.72,72.3,3666.0
1991,Erode,75.56,285.82,3783.0
1991,Kancheepuram,264.41,894.59,3383.0
1991,Kanyakumari,40.57,143.22,3530.0
1991,Madurai,102.54,363.75,3547.0
1991,Pudukkottai,76.11,215.02,2825.0
1991,Ramananthapuram,137.38,69.47,506.0
1991,Salem,67.82,229.93,3390.0
1991,Sivagangai,85.6,153.64,1795.0
1991,Thanjavur,471.62,1575.31,3340.0
1991,The Nilgiris,1.56,4.87,3122.0
1991,Thirunelveli,98.98,319.12,3224.0
1991,Thoothukudi,31.95,109.12,3415.0
1991,Tiruchirappalli,113.85,416.96,3662.0
1991,Tiruvannamalai,106.9,326.99,3059.0
1991,Vellore,70.44,223.1,3167.0
1991,Virudhunagar,21.68,47.2,2177.0
1992,Coimbatore,27.03,86.26,3191.0
