year,dist_name,maximum_temperature
1990,Ariyalur,33.45
1990,Chennai,33.74
1990,Coimbatore,30.11
1990,Cuddalore,33.09
1990,Dharmapuri,32.1
1990,Dindigul,31.14
1990,Erode,31.64
1990,Kancheepuram,33.21
1990,Kanyakumari,30.07
1990,Karur,34.31
1990,Krishnagiri,31.01
1990,Madurai,33.48
1990,Nagapattinam,32.5
1990,Namakkal,33.19
1990,Perambular,33.91
1990,Pudukkottai,33.27
1990,Ramananthapuram,33.36
1990,Salem,32.55
1990,Sivagangai,33.46
1990,Thanjavur,32.84
1990,The Nilgiris,24.05
1990,Theni,30.24
1990,Thirunelveli,32.35
1990,Thiruvallur,33.37
1990,Thiruvarur,32.58
1990,Thoothukudi,33.95
1990,Tiruchirappalli,33.63
1990,Tiruppur,32.25
1990,Tiruvannamalai,32.91
1990,Vellore,32.31
1990,Villupuram,33.15
1990,Virudhunagar,33.95
1991,Ariyalur,33.45
1991,Chennai,33.76
1991,Coimbatore,30.11
1991,Cuddalore,33.1
1991,Dharmapuri,32.12
1991,Dindigul,31.15
1991,Erode,31.65
1991,Kancheepuram,33.23
1991,Kanyakumari,30.06
1991,Karur,34.33
1991,Krishnagiri,31.03
1991,Madurai,33.5
1991,Nagapattinam,32.52
1991,Namakkal,33.2
1991,Perambular,33.9
1991,Pudukkottai,33.28
1991,Ramananthapuram,33.38
1991,Salem,32.55
1991,Sivagangai,33.49
1991,Thanjavur,32.84
1991,The Nilgiris,24.07
1991,Theni,30.24
1991,Thirunelveli,32.36
1991,Thiruvallur,33.41
1991,Thiruvarur,32.6
1991,Thoothukudi,33.96
1991,Tiruchirappalli,33.64
1991,Tiruppur,32.25
1991,Tiruvannamalai,32.94
1991,Vellore,32.35
1991,Villupuram,33.18
1991,Virudhunagar,33.97
1992,Ariyalur,33.55
1992,Chennai,33.93
1992,Coimbatore,30.18
1992,Cuddalore,33.21
1992,Dharmapuri,32.22
1992,Dindigul,31.21
1992,Erode,31.73
1992,Kancheepuram,33.39
1992,Kanyakumari,30.11
1992,Karur,34.4
1992,Krishnagiri,31.14
1992,Madurai,33.55
1992,Nagapattinam,32.62
1992,Namakkal,33.29
1992,Perambular,34.0
