year,dist_name,minimum_temperature
1990,Ariyalur,24.37
1990,Chennai,24.21
1990,Coimbatore,20.84
1990,Cuddalore,24.18
1990,Dharmapuri,21.22
1990,Dindigul,21.54
1990,Erode,21.31
1990,Kancheepuram,23.87
1990,Kanyakumari,23.2
1990,Karur,24.14
1990,Krishnagiri,20.04
1990,Madurai,24.0
1990,Nagapattinam,24.6
1990,Namakkal,22.64
1990,Perambular,24.13
1990,Pudukkottai,24.54
1990,Ramananthapuram,25.64
1990,Salem,21.84
1990,Sivagangai,24.82
1990,Thanjavur,24.36
1990,The Nilgiris,14.74
1990,Theni,21.35
1990,Thirunelveli,24.38
1990,Thiruvallur,23.6
1990,Thiruvarur,24.56
1990,Thoothukudi,25.58
1990,Tiruchirappalli,23.69
1990,Tiruppur,22.45
1990,Tiruvannamalai,22.83
1990,Vellore,21.92
1990,Villupuram,23.56
1990,Virudhunagar,25.06
1991,Ariyalur,24.36
1991,Chennai,24.22
1991,Coimbatore,20.83
1991,Cuddalore,24.19
1991,Dharmapuri,21.23
1991,Dindigul,21.55
1991,Erode,21.31
1991,Kancheepuram,23.88
1991,Kanyakumari,23.18
1991,Karur,24.14
1991,Krishnagiri,20.05
1991,Madurai,24.01
1991,Nagapattinam,24.61
1991,Namakkal,22.64
1991,Perambular,24.11
1991,Pudukkottai,24.54
1991,Ramananthapuram,25.65
1991,Salem,21.83
1991,Sivagangai,24.83
1991,Thanjavur,24.35
1991,The Nilgiris,14.75
1991,Theni,21.34
1991,Thirunelveli,24.38
1991,Thiruvallur,23.63
1991,Thiruvarur,24.57
1991,Thoothukudi,25.58
1991,Tiruchirappalli,23.69
1991,Tiruppur,22.44
1991,Tiruvannamalai,22.85
1991,Vellore,21.96
1991,Villupuram,23.59
1991,Virudhunagar,25.07
1992,Ariyalur,23.77
1992,Chennai,23.7
1992,Coimbatore,20.21
1992,Cuddalore,23.61
1992,Dharmapuri,20.64
1992,Dindigul,20.92
1992,Erode,20.7
1992,Kancheepuram,23.34
1992,Kanyakumari,22.54
1992,Karur,23.52
1992,Krishnagiri,19.48
1992,Madurai,23.37
1992,Nagapattinam,24.01
1992,Namakkal,22.04
1992,Perambular,23.52
1992,Pudukkottai,23.9
1992,Ramananthapuram,25.0
1992,Salem,21.23
1992,Sivagangai,24.19
1992,Thanjavur,23.75
1992,The Nilgiris,14.12
1992,Theni,20.71
1992,Thirunelveli,23.74
1992,Thiruvallur,23.1
1992,Thiruvarur,23.97
1992,Thoothukudi,24.94
1992,Tiruchirappalli,23.07
1992,Tiruppur,21.83
1992,Tiruvannamalai,22.29
1992,Vellore,21.4
1992,Villupuram,23.0
1992,Virudhunagar,24.44
1993,Ariyalur,23.82
1993,Chennai,23.77
1993,Coimbatore,20.28
1993,Cuddalore,23.65
1993,Dharmapuri,20.73
1993,Dindigul,20.98
1993,Erode,20.78
1993,Kancheepuram,23.38
1993,Kanyakumari,22.6
1993,Karur,23.58
1993,Krishnagiri,19.57
1993,Madurai,23.42
1993,Nagapattinam,24.05
1993,Namakkal,22.12
1993,Perambular,23.57
1993,Pudukkottai,23.95
1993,Ramananthapuram,25.04
1993,Salem,21.32
1993,Sivagangai,24.23
1993,Thanjavur,23.79
1993,The Nilgiris,14.2
1993,Theni,20.77
1993,Thirunelveli,23.77
1993,Thiruvallur,23.18
1993,Thiruvarur,24.0
1993,Thoothukudi,24.97
1993,Tiruchirappalli,23.13
1993,Tiruppur,21.89
1993,Tiruvannamalai,22.35
1993,Vellore,21.47
1993,Villupuram,23.06
1993,Virudhunagar,24.47
1994,Ariyalur,23.96
1994,Chennai,23.86
1994,Coimbatore,20.34
1994,Cuddalore,23.77
1994,Dharmapuri,20.8
1994,Dindigul,21.09
1994,Erode,20.83
1994,Kancheepuram,23.49
1994,Kanyakumari,22.72
1994,Karur,23.68
1994,Krishnagiri,19.62
1994,Madurai,23.54
1994,Nagapattinam,24.21
1994,Namakkal,22.18
1994,Perambular,23.69
1994,Pudukkottai,24.09
1994,Ramananthapuram,25.18
1994,Salem,21.39
1994,Sivagangai,24.37
1994,Thanjavur,23.94
1994,The Nilgiris,14.24
1994,Theni,20.89
1994,Thirunelveli,23.9
1994,Thiruvallur,23.26
1994,Thiruvarur,24.16
1994,Thoothukudi,25.1
1994,Tiruchirappalli,23.25
1994,Tiruppur,21.97
1994,Tiruvannamalai,22.44
1994,Vellore,21.54
1994,Villupuram,23.16
1994,Virudhunagar,24.6
