year,dist_name,precipitation
1990,Ariyalur,88.76
1990,Chennai,104.94
1990,Coimbatore,82.44
1990,Cuddalore,96.53
1990,Dharmapuri,63.4
1990,Dindigul,73.56
1990,Erode,50.69
1990,Kancheepuram,96.47
1990,Kanyakumari,109.54
1990,Karur,60.72
1990,Krishnagiri,53.28
1990,Madurai,78.07
1990,Nagapattinam,115.9
1990,Namakkal,63.0
1990,Perambular,80.52
1990,Pudukkottai,82.71
1990,Ramananthapuram,72.39
1990,Salem,67.66
1990,Sivagangai,82.96
1990,Thanjavur,90.17
1990,The Nilgiris,103.64
1990,Theni,87.06
1990,Thirunelveli,87.34
1990,Thiruvallur,96.54
1990,Thiruvarur,105.33
1990,Thoothukudi,60.1
1990,Tiruchirappalli,70.52
1990,Tiruppur,54.81
1990,Tiruvannamalai,81.15
1990,Vellore,70.94
1990,Villupuram,85.94
1990,Virudhunagar,74.63
1991,Ariyalur,83.85
1991,Chennai,109.56
1991,Coimbatore,103.49
1991,Cuddalore,96.56
1991,Dharmapuri,86.95
1991,Dindigul,67.07
1991,Erode,66.86
1991,Kancheepuram,101.79
1991,Kanyakumari,114.6
1991,Karur,61.51
1991,Krishnagiri,82.19
1991,Madurai,66.79
1991,Nagapattinam,100.62
1991,Namakkal,73.1
1991,Perambular,81.25
1991,Pudukkottai,72.01
1991,Ramananthapuram,57.74
1991,Salem,84.52
1991,Sivagangai,69.6
1991,Thanjavur,79.02
1991,The Nilgiris,146.48
1991,Theni,80.38
1991,Thirunelveli,78.01
1991,Thiruvallur,102.26
1991,Thiruvarur,89.76
1991,Thoothukudi,47.98
1991,Tiruchirappalli,69.67
1991,Tiruppur,59.41
1991,Tiruvannamalai,92.09
1991,Vellore,85.45
1991,Villupuram,92.28
1991,Virudhunagar,61.36
1992,Ariyalur,74.57
1992,Chennai,88.57
1992,Coimbatore,96.05
1992,Cuddalore,83.06
1992,Dharmapuri,55.62
1992,Dindigul,65.93
1992,Erode,48.07
1992,Kancheepuram,79.86
1992,Kanyakumari,122.7
1992,Karur,50.81
1992,Krishnagiri,51.12
1992,Madurai,70.45
1992,Nagapattinam,98.03
1992,Namakkal,53.04
1992,Perambular,66.13
1992,Pudukkottai,72.15
1992,Ramananthapuram,66.61
1992,Salem,56.87
1992,Sivagangai,75.66
1992,Thanjavur,76.29
1992,The Nilgiris,131.71
1992,Theni,83.81
1992,Thirunelveli,84.64
1992,Thiruvallur,77.81
1992,Thiruvarur,88.36
1992,Thoothukudi,58.15
1992,Tiruchirappalli,58.43
1992,Tiruppur,53.26
1992,Tiruvannamalai,65.09
1992,Vellore,58.22
1992,Villupuram,70.97
1992,Virudhunagar,67.2
1993,Ariyalur,89.23
1993,Chennai,115.65
1993,Coimbatore,100.64
1993,Cuddalore,102.39
1993,Dharmapuri,68.83
1993,Dindigul,78.12
1993,Erode,55.99
1993,Kancheepuram,108.4
1993,Kanyakumari,132.61
1993,Karur,59.85
1993,Krishnagiri,64.1
1993,Madurai,81.57
1993,Nagapattinam,126.74
1993,Namakkal,61.92
1993,Perambular,78.21
1993,Pudukkottai,82.05
1993,Ramananthapuram,81.73
1993,Salem,67.87
1993,Sivagangai,84.66
1993,Thanjavur,92.5
1993,The Nilgiris,121.95
1993,Theni,98.87
1993,Thirunelveli,104.39
1993,Thiruvallur,103.91
1993,Thiruvarur,112.83
1993,Thoothukudi,77.33
1993,Tiruchirappalli,67.59
1993,Tiruppur,62.72
1993,Tiruvannamalai,86.74
1993,Vellore,78.86
1993,Villupuram,89.82
1993,Virudhunagar,81.35
1994,Ariyalur,74.45
1994,Chennai,114.67
1994,Coimbatore,111.44
1994,Cuddalore,87.02
1994,Dharmapuri,66.24
1994,Dindigul,68.95
1994,Erode,62.52
1994,Kancheepuram,97.21
1994,Kanyakumari,114.23
1994,Karur,58.07
1994,Krishnagiri,57.78
1994,Madurai,70.53
1994,Nagapattinam,97.22
1994,Namakkal,63.94
1994,Perambular,70.72
1994,Pudukkottai,66.19
1994,Ramananthapuram,61.95
1994,Salem,68.87
1994,Sivagangai,67.53
1994,Thanjavur,72.36
1994,The Nilgiris,163.06
1994,Theni,87.42
1994,Thirunelveli,86.7
1994,Thiruvallur,100.13
1994,Thiruvarur,85.26
1994,Thoothukudi,58.97
1994,Tiruchirappalli,63.17
1994,Tiruppur,62.08
1994,Tiruvannamalai,77.71
1994,Vellore,68.89
1994,Villupuram,80.58
1994,Virudhunagar,69.17
1995,Ariyalur,70.72
1995,Chennai,107.74
1995,Coimbatore,91.01
1995,Cuddalore,81.8
1995,Dharmapuri,67.41
1995,Dindigul,59.46
1995,Erode,48.23
1995,Kancheepuram,100.73
1995,Kanyakumari,99.33
1995,Karur,49.37
1995,Krishnagiri,64.29
1995,Madurai,62.98
1995,Nagapattinam,80.61
1995,Namakkal,56.83
1995,Perambular,67.6
1995,Pudukkottai,62.06
1995,Ramananthapuram,52.38
1995,Salem,65.57
1995,Sivagangai,62.93
1995,Thanjavur,66.08
1995,The Nilgiris,126.36
1995,Theni,75.18
1995,Thirunelveli,71.97
1995,Thiruvallur,104.52
1995,Thiruvarur,73.25
1995,Thoothukudi,46.88
1995,Tiruchirappalli,56.93
1995,Tiruppur,47.45
1995,Tiruvannamalai,87.45
1995,Vellore,81.54
1995,Villupuram,82.17
1995,Virudhunagar,58.57
1996,Ariyalur,78.01
1996,Chennai,98.49
1996,Coimbatore,80.13
1996,Cuddalore,88.32
1996,Dharmapuri,60.89
1996,Dindigul,54.95
1996,Erode,44.6
1996,Kancheepuram,88.53
1996,Kanyakumari,108.45
1996,Karur,46.04
1996,Krishnagiri,58.75
1996,Madurai,63.75
1996,Nagapattinam,105.05
1996,Namakkal,51.6
1996,Perambular,68.76
1996,Pudukkottai,74.7
1996,Ramananthapuram,67.16
1996,Salem,59.67
1996,Sivagangai,76.22
1996,Thanjavur,80.73
1996,The Nilgiris,124.41
1996,Theni,67.94
1996,Thirunelveli,76.76
1996,Thiruvallur,87.09
1996,Thiruvarur,94.68
1996,Thoothukudi,50.87
1996,Tiruchirappalli,57.85
1996,Tiruppur,42.22
1996,Tiruvannamalai,72.36
1996,Vellore,66.33
1996,Villupuram,76.98
1996,Virudhunagar,61.14
1997,Ariyalur,106.17
1997,Chennai,143.36
1997,Coimbatore,122.35
1997,Cuddalore,125.0
1997,Dharmapuri,89.43
1997,Dindigul,88.13
1997,Erode,71.58
1997,Kancheepuram,127.52
1997,Kanyakumari,127.2
1997,Karur,73.87
1997,Krishnagiri,81.45
1997,Madurai,88.44
1997,Nagapattinam,140.84
1997,Namakkal,80.48
1997,Perambular,96.49
1997,Pudukkottai,91.23
1997,Ramananthapuram,81.09
1997,Salem,89.41
1997,Sivagangai,89.8
1997,Thanjavur,103.23
1997,The Nilgiris,166.8
1997,Theni,106.01
1997,Thirunelveli,98.37
1997,Thiruvallur,124.21
1997,Thiruvarur,122.93
1997,Thoothukudi,71.57
1997,Tiruchirappalli,82.96
1997,Tiruppur,74.48
1997,Tiruvannamalai,102.45
1997,Vellore,90.98
1997,Villupuram,110.78
1997,Virudhunagar,83.78
1998,Ariyalur,101.21
1998,Chennai,99.2
1998,Coimbatore,122.22
1998,Cuddalore,112.04
1998,Dharmapuri,89.67
1998,Dindigul,87.67
1998,Erode,71.16
1998,Kancheepuram,98.6
1998,Kanyakumari,137.26
1998,Karur,71.27
1998,Krishnagiri,83.16
1998,Madurai,87.4
1998,Nagapattinam,124.04
1998,Namakkal,80.57
1998,Perambular,94.56
1998,Pudukkottai,91.32
1998,Ramananthapuram,76.66
1998,Salem,90.07
1998,Sivagangai,90.74
1998,Thanjavur,99.38
1998,The Nilgiris,166.66
1998,Theni,105.38
1998,Thirunelveli,103.38
1998,Thiruvallur,91.74
1998,Thiruvarur,113.52
1998,Thoothukudi,70.17
1998,Tiruchirappalli,81.26
1998,Tiruppur,72.24
1998,Tiruvannamalai,93.98
1998,Vellore,85.0
1998,Villupuram,99.71
1998,Virudhunagar,82.31
1999,Ariyalur,72.84
1999,Chennai,79.24
