year,dist_name,nitrogen_kharif_consumption_tons,nitrogen_rabi_consumption_tons,phosphate_kharif_consumption_tons,phosphate_rabi_consumption_tons,potash_kharif_consumption_tons,potash_rabi_consumption_tons,total_kharif_consumption_tons,total_rabi_consumption_tons
1990,Coimbatore,14596.0,18250.0,5249.0,5449.0,11983.0,11611.0,31828.0,35310.0
1990,Cuddalore,16764.0,27259.0,8862.0,9773.0,12635.0,13412.0,38261.0,50444.0
1990,Dharmapuri,2785.0,4158.0,1493.0,1767.0,2390.0,1996.0,6668.0,7921.0
1990,Dindigul,3505.0,4521.0,1814.0,1993.0,2138.0,2768.0,7457.0,9282.0
1990,Erode,9055.0,16121.0,4995.0,5196.0,5242.0,5774.0,19292.0,27091.0
1990,Kancheepuram,11361.0,24967.0,6337.0,8963.0,5425.0,10058.0,23123.0,43988.0
1990,Kanyakumari,2616.0,3980.0,1470.0,1593.0,2293.0,2507.0,6379.0,8080.0
1990,Madurai,13977.0,20703.0,6399.0,7509.0,10243.0,14872.0,30619.0,43084.0
1990,Pudukkottai,2118.0,7876.0,1293.0,2460.0,1589.0,3449.0,5000.0,13785.0
1990,Ramananthapuram,1094.0,5260.0,298.0,1075.0,251.0,900.0,1643.0,7235.0
1990,Salem,7244.0,10958.0,4454.0,4295.0,10671.0,6207.0,22369.0,21460.0
1990,Sivagangai,1165.0,4846.0,597.0,1234.0,577.0,913.0,2339.0,6993.0
1990,Thanjavur,26445.0,38552.0,14087.0,13317.0,12896.0,20985.0,53428.0,72854.0
1990,The Nilgiris,3205.0,1997.0,497.0,685.0,2120.0,1814.0,5822.0,4496.0
1990,Thirunelveli,9233.0,12864.0,4302.0,4919.0,4309.0,5635.0,17844.0,23418.0
1990,Thoothukudi,2417.0,3887.0,1401.0,1178.0,1573.0,3291.0,5391.0,8356.0
1990,Tiruchirappalli,12768.0,25553.0,6565.0,7546.0,11664.0,15426.0,30997.0,48525.0
1990,Tiruvannamalai,4400.0,9478.0,2436.0,2871.0,887.0,2935.0,7723.0,15284.0
1990,Vellore,7088.0,13629.0,3930.0,5832.0,5938.0,7747.0,16956.0,27208.0
1990,Virudhunagar,3456.0,7525.0,1711.0,2574.0,2296.0,5432.0,7463.0,15531.0
1991,Coimbatore,12158.0,14027.0,4982.0,4936.0,11916.0,9864.0,29056.0,28827.0
1991,Cuddalore,14965.0,26091.0,7226.0,8886.0,10364.0,14625.0,32555.0,49602.0
1991,Dharmapuri,2972.0,7310.0,1638.0,2523.0,2434.0,280.0,7044.0,10113.0
1991,Dindigul,3200.0,6220.0,1523.0,1929.0,2105.0,3454.0,6828.0,11603.0
1991,Erode,9973.0,14543.0,4883.0,3427.0,6037.0,5823.0,20893.0,23793.0
1991,Kancheepuram,12320.0,21044.0,6288.0,8053.0,6011.0,6693.0,24619.0,35790.0
