year,dist_name,water_deficit
1990,Ariyalur,83.32
1990,Chennai,66.61
1990,Coimbatore,67.48
1990,Cuddalore,70.68
1990,Dharmapuri,85.49
1990,Dindigul,88.09
1990,Erode,98.29
1990,Kancheepuram,66.67
1990,Kanyakumari,51.45
1990,Karur,114.14
1990,Krishnagiri,86.69
1990,Madurai,95.56
1990,Nagapattinam,63.93
1990,Namakkal,100.72
1990,Perambular,93.78
1990,Pudukkottai,91.29
1990,Ramananthapuram,109.78
1990,Salem,88.84
1990,Sivagangai,93.43
1990,Thanjavur,79.86
1990,The Nilgiris,44.25
1990,Theni,67.96
1990,Thirunelveli,86.36
1990,Thiruvallur,63.74
1990,Thiruvarur,68.18
1990,Thoothukudi,120.16
1990,Tiruchirappalli,100.93
1990,Tiruppur,103.1
1990,Tiruvannamalai,73.58
1990,Vellore,77.91
1990,Villupuram,76.42
1990,Virudhunagar,104.28
1991,Ariyalur,83.71
1991,Chennai,76.67
1991,Coimbatore,56.74
1991,Cuddalore,73.26
1991,Dharmapuri,76.89
1991,Dindigul,83.59
1991,Erode,86.68
1991,Kancheepuram,71.28
1991,Kanyakumari,46.24
1991,Karur,107.54
1991,Krishnagiri,74.15
1991,Madurai,90.14
1991,Nagapattinam,68.72
1991,Namakkal,92.19
1991,Perambular,90.44
1991,Pudukkottai,88.81
1991,Ramananthapuram,103.17
1991,Salem,80.19
1991,Sivagangai,88.72
1991,Thanjavur,79.44
1991,The Nilgiris,35.0
1991,Theni,61.57
1991,Thirunelveli,79.46
1991,Thiruvallur,71.2
1991,Thiruvarur,69.4
1991,Thoothukudi,114.66
1991,Tiruchirappalli,95.73
1991,Tiruppur,96.46
1991,Tiruvannamalai,74.06
1991,Vellore,75.68
1991,Villupuram,77.24
1991,Virudhunagar,97.4
1992,Ariyalur,82.1
1992,Chennai,88.14
1992,Coimbatore,65.97
1992,Cuddalore,74.67
1992,Dharmapuri,82.67
1992,Dindigul,89.66
1992,Erode,98.85
1992,Kancheepuram,80.98
1992,Kanyakumari,50.43
1992,Karur,114.36
1992,Krishnagiri,83.87
1992,Madurai,95.67
1992,Nagapattinam,70.83
1992,Namakkal,101.77
1992,Perambular,91.87
1992,Pudukkottai,89.94
1992,Ramananthapuram,109.1
1992,Salem,90.82
1992,Sivagangai,89.31
1992,Thanjavur,80.39
1992,The Nilgiris,42.53
1992,Theni,70.53
1992,Thirunelveli,91.55
1992,Thiruvallur,81.77
1992,Thiruvarur,71.25
1992,Thoothukudi,123.21
1992,Tiruchirappalli,99.49
1992,Tiruppur,104.94
1992,Tiruvannamalai,77.9
1992,Vellore,81.23
1992,Villupuram,79.47
1992,Virudhunagar,106.93
1993,Ariyalur,97.76
1993,Chennai,74.56
1993,Coimbatore,70.12
1993,Cuddalore,85.05
1993,Dharmapuri,93.87
1993,Dindigul,96.42
1993,Erode,103.0
1993,Kancheepuram,73.95
1993,Kanyakumari,60.16
1993,Karur,123.7
1993,Krishnagiri,87.92
1993,Madurai,105.1
1993,Nagapattinam,80.11
1993,Namakkal,110.53
1993,Perambular,107.54
1993,Pudukkottai,105.53
1993,Ramananthapuram,114.89
1993,Salem,99.83
1993,Sivagangai,105.32
1993,Thanjavur,94.46
1993,The Nilgiris,45.49
1993,Theni,72.18
1993,Thirunelveli,97.07
1993,Thiruvallur,72.82
1993,Thiruvarur,83.92
1993,Thoothukudi,126.54
1993,Tiruchirappalli,113.5
1993,Tiruppur,107.93
1993,Tiruvannamalai,84.47
1993,Vellore,83.75
1993,Villupuram,89.72
1993,Virudhunagar,111.55
1994,Ariyalur,84.46
1994,Chennai,78.91
1994,Coimbatore,50.23
1994,Cuddalore,77.73
1994,Dharmapuri,89.02
1994,Dindigul,82.65
1994,Erode,90.15
1994,Kancheepuram,74.22
1994,Kanyakumari,37.03
1994,Karur,113.63
1994,Krishnagiri,89.53
1994,Madurai,87.74
1994,Nagapattinam,78.39
1994,Namakkal,100.67
1994,Perambular,95.16
1994,Pudukkottai,90.06
1994,Ramananthapuram,96.07
1994,Salem,90.23
1994,Sivagangai,87.88
1994,Thanjavur,79.17
1994,The Nilgiris,28.69
1994,Theni,52.62
1994,Thirunelveli,75.04
1994,Thiruvallur,74.66
1994,Thiruvarur,75.28
1994,Thoothukudi,109.43
1994,Tiruchirappalli,102.01
1994,Tiruppur,94.8
1994,Tiruvannamalai,79.91
1994,Vellore,85.23
1994,Villupuram,80.26
1994,Virudhunagar,88.78
1995,Ariyalur,76.6
1995,Chennai,53.86
1995,Coimbatore,61.59
1995,Cuddalore,62.48
1995,Dharmapuri,76.23
1995,Dindigul,84.54
1995,Erode,96.3
