year,dist_name,actual_evapotranspiration,rice_area_1000_ha,rice_production_1000_tons,rice_yield_kg_per_ha,rice_irrigated_area_1000_ha,maximum_temperature,minimum_temperature,precipitation,nitrogen_kharif_consumption_tons,nitrogen_rabi_consumption_tons,phosphate_kharif_consumption_tons,phosphate_rabi_consumption_tons,potash_kharif_consumption_tons,potash_rabi_consumption_tons,total_kharif_consumption_tons,total_rabi_consumption_tons,water_deficit
1990,Coimbatore,67.75,18.16,62.75,3455.0,18.16,30.11,20.84,82.44,14596.0,18250.0,5249.0,5449.0,11983.0,11611.0,31828.0,35310.0,67.48
1990,Cuddalore,88.41,179.94,611.61,3399.0,177.17,33.09,24.18,96.53,16764.0,27259.0,8862.0,9773.0,12635.0,13412.0,38261.0,50444.0,70.68
1990,Dharmapuri,61.98,29.93,96.18,3213.0,29.84,32.1,21.22,63.4,2785.0,4158.0,1493.0,1767.0,2390.0,1996.0,6668.0,7921.0,85.49
1990,Dindigul,62.8,21.95,80.56,3670.0,21.95,31.14,21.54,73.56,3505.0,4521.0,1814.0,1993.0,2138.0,2768.0,7457.0,9282.0,88.09
1990,Erode,47.85,64.26,277.26,4315.0,64.26,31.64,21.31,50.69,9055.0,16121.0,4995.0,5196.0,5242.0,5774.0,19292.0,27091.0,98.29
1990,Kancheepuram,90.6,231.96,743.65,3206.0,209.69,33.21,23.87,96.47,11361.0,24967.0,6337.0,8963.0,5425.0,10058.0,23123.0,43988.0,66.67
1990,Kanyakumari,83.56,41.23,127.82,3100.0,41.23,30.07,23.2,109.54,2616.0,3980.0,1470.0,1593.0,2293.0,2507.0,6379.0,8080.0,51.45
1990,Madurai,66.38,119.15,409.55,3437.0,119.15,33.48,24.0,78.07,13977.0,20703.0,6399.0,7509.0,10243.0,14872.0,30619.0,43084.0,95.56
1990,Pudukkottai,72.09,68.44,172.55,2521.0,64.31,33.27,24.54,82.71,2118.0,7876.0,1293.0,2460.0,1589.0,3449.0,5000.0,13785.0,91.29
1990,Ramananthapuram,59.57,151.27,263.44,1742.0,64.08,33.36,25.64,72.39,1094.0,5260.0,298.0,1075.0,251.0,900.0,1643.0,7235.0,109.78
1990,Salem,63.67,30.38,101.04,3326.0,30.08,32.55,21.84,67.66,7244.0,10958.0,4454.0,4295.0,10671.0,6207.0,22369.0,21460.0,88.84
1990,Sivagangai,70.69,89.34,203.12,2274.0,70.72,33.46,24.82,82.96,1165.0,4846.0,597.0,1234.0,577.0,913.0,2339.0,6993.0,93.43
1990,Thanjavur,78.58,459.42,1403.46,3055.0,444.7,32.84,24.36,90.17,26445.0,38552.0,14087.0,13317.0,12896.0,20985.0,53428.0,72854.0,79.86
1990,The Nilgiris,69.05,2.78,6.89,2478.0,0.16,24.05,14.74,103.64,3205.0,1997.0,497.0,685.0,2120.0,1814.0,5822.0,4496.0,44.25
1990,Thirunelveli,67.39,101.4,398.26,3928.0,101.4,32.35,24.38,87.34,9233.0,12864.0,4302.0,4919.0,4309.0,5635.0,17844.0,23418.0,86.36
1990,Thoothukudi,48.12,28.79,136.0,4724.0,28.79,33.95,25.58,60.1,2417.0,3887.0,1401.0,1178.0,1573.0,3291.0,5391.0,8356.0,120.16
1990,Tiruchirappalli,61.63,92.68,299.42,3231.0,78.72,33.63,23.69,70.52,12768.0,25553.0,6565.0,7546.0,11664.0,15426.0,30997.0,48525.0,100.93
1990,Tiruvannamalai,78.96,53.32,164.54,3086.0,53.32,32.91,22.83,81.15,4400.0,9478.0,2436.0,2871.0,887.0,2935.0,7723.0,15284.0,73.58
1990,Vellore,69.99,34.57,100.85,2917.0,144.57,32.31,21.92,70.94,7088.0,13629.0,3930.0,5832.0,5938.0,7747.0,16956.0,27208.0,77.91
1990,Virudhunagar,61.77,36.78,123.49,3358.0,33.76,33.95,25.06,74.63,3456.0,7525.0,1711.0,2574.0,2296.0,5432.0,7463.0,15531.0,104.28
1991,Coimbatore,77.13,21.29,73.83,3468.0,21.29,30.11,20.83,103.49,12158.0,14027.0,4982.0,4936.0,11916.0,9864.0,29056.0,28827.0,56.74
1991,Cuddalore,83.84,233.31,827.59,3547.0,229.49,33.1,24.19,96.56,14965.0,26091.0,7226.0,8886.0,10364.0,14625.0,32555.0,49602.0,73.26
1991,Dharmapuri,71.76,76.6,244.43,3191.0,76.45,32.12,21.23,86.95,2972.0,7310.0,1638.0,2523.0,2434.0,280.0,7044.0,10113.0,76.89
1991,Dindigul,64.33,19.72,72.3,3666.0,19.67,31.15,21.55,67.07,3200.0,6220.0,1523.0,1929.0,2105.0,3454.0,6828.0,11603.0,83.59
1991,Erode,59.68,75.56,285.82,3783.0,75.47,31.65,21.31,66.86,9973.0,14543.0,4883.0,3427.0,6037.0,5823.0,20893.0,23793.0,86.68
1991,Kancheepuram,84.91,264.41,894.59,3383.0,242.2,33.23,23.88,101.79,12320.0,21044.0,6288.0,8053.0,6011.0,6693.0,24619.0,35790.0,71.28
1991,Kanyakumari,86.28,40.57,143.22,3530.0,40.57,30.06,23.18,114.6,2901.0,4870.0,1603.0,1757.0,2368.0,2711.0,6872.0,9338.0,46.24
1991,Madurai,67.91,102.54,363.75,3547.0,102.54,33.5,24.01,66.79,13522.0,16138.0,6896.0,5485.0,11154.0,13227.0,31572.0,34850.0,90.14
1991,Pudukkottai,71.02,76.11,215.02,2825.0,72.95,33.28,24.54,72.01,2562.0,11945.0,1154.0,3290.0,1454.0,4460.0,5170.0,19695.0,88.81
1991,Ramananthapuram,61.12,137.38,69.47,506.0,56.53,33.38,25.65,57.74,1273.0,5952.0,430.0,1969.0,245.0,1820.0,1948.0,9741.0,103.17
1991,Salem,72.2,67.82,229.93,3390.0,67.58,32.55,21.83,84.52,6998.0,16615.0,3840.0,6801.0,8949.0,8152.0,19787.0,31568.0,80.19
1991,Sivagangai,71.09,85.6,153.64,1795.0,67.29,33.49,24.83,69.6,1823.0,6612.0,687.0,1780.0,532.0,2364.0,3042.0,10756.0,88.72
1991,Thanjavur,75.69,471.62,1575.31,3340.0,457.03,32.84,24.35,79.02,28288.0,32592.0,14088.0,8676.0,16606.0,18486.0,58982.0,59754.0,79.44
1991,The Nilgiris,77.83,1.56,4.87,3122.0,0.16,24.07,14.75,146.48,3059.0,1369.0,725.0,381.0,2238.0,724.0,6022.0,2474.0,35.0
1991,Thirunelveli,70.51,98.98,319.12,3224.0,98.98,32.36,24.38,78.01,11105.0,12574.0,4874.0,3213.0,5383.0,5824.0,21362.0,21611.0,79.46
1991,Thoothukudi,48.94,31.95,109.12,3415.0,31.95,33.96,25.58,47.98,2328.0,3498.0,1416.0,1437.0,1976.0,2152.0,5720.0,7087.0,114.66
1991,Tiruchirappalli,65.03,113.85,416.96,3662.0,100.73,33.64,23.69,69.67,13156.0,25365.0,6971.0,8528.0,13073.0,24700.0,33200.0,58593.0,95.73
1991,Tiruvannamalai,78.04,106.9,326.99,3059.0,106.83,32.94,22.85,92.09,3706.0,12405.0,1937.0,5530.0,1514.0,5238.0,7157.0,23173.0,74.06
